filename,lr_size,hr_size,scale_x,scale_y,ssim,color_drift,sharpness_ratio,bad,reasons
pkmn_00111_.png,192x206,768x824,4.0,4.0,0.8918,2.6699,0.8256,False,
pkmn_00112_.png,192x206,768x824,4.0,4.0,0.8988,2.9569,0.7734,False,
pkmn_00113_.png,192x206,768x824,4.0,4.0,0.9167,2.5269,0.7491,False,
pkmn_00114_.png,192x206,768x824,4.0,4.0,0.9004,5.8046,0.7426,False,
pkmn_00115_.png,192x206,768x824,4.0,4.0,0.8961,5.881,0.7923,False,
pkmn_00116_.png,192x206,768x824,4.0,4.0,0.9007,3.6351,0.8478,False,
pkmn_00117_.png,192x206,768x824,4.0,4.0,0.9062,4.4522,0.6942,False,
pkmn_00118_.png,192x206,768x824,4.0,4.0,0.8717,4.2087,0.811,False,
pkmn_00119_.png,192x206,768x824,4.0,4.0,0.9241,3.1957,0.7537,False,
pkmn_00120_.png,192x206,768x824,4.0,4.0,0.8748,4.2322,0.7096,False,
pkmn_00121_.png,192x206,768x824,4.0,4.0,0.9084,3.0481,0.7455,False,
pkmn_00122_.png,192x206,768x824,4.0,4.0,0.9221,2.8283,0.8743,False,
pkmn_2nd_gen_00001_.png,133x88,532x352,4.0,4.0,0.8378,3.2287,1.0872,False,
pkmn_2nd_gen_00002_.png,133x88,532x352,4.0,4.0,0.8061,4.2875,1.0976,False,
pkmn_2nd_gen_00003_.png,134x88,536x352,4.0,4.0,0.8361,2.9926,1.176,False,
pkmn_2nd_gen_00004_.png,133x88,532x352,4.0,4.0,0.8461,3.0697,1.0669,False,
pkmn_2nd_gen_00005_.png,133x88,532x352,4.0,4.0,0.8135,3.9623,0.8779,False,
pkmn_2nd_gen_00006_.png,134x88,536x352,4.0,4.0,0.8339,3.4725,1.1017,False,
pkmn_2nd_gen_00007_.png,133x88,532x352,4.0,4.0,0.8229,3.4211,1.0494,False,
pkmn_2nd_gen_00008_.png,133x88,532x352,4.0,4.0,0.8097,4.1096,0.8405,False,
pkmn_2nd_gen_00009_.png,134x88,536x352,4.0,4.0,0.8172,3.5577,0.8937,False,
pkmn_2nd_gen_00010_.png,133x88,532x352,4.0,4.0,0.819,3.3751,0.9554,False,
pkmn_2nd_gen_00011_.png,133x88,532x352,4.0,4.0,0.8074,4.4485,0.8805,False,
pkmn_2nd_gen_00012_.png,134x88,536x352,4.0,4.0,0.8164,3.968,0.7823,False,
pkmn_2nd_gen_00013_.png,133x88,532x352,4.0,4.0,0.8321,3.2952,0.9649,False,
pkmn_2nd_gen_00014_.png,133x88,532x352,4.0,4.0,0.8378,2.3057,0.9851,False,
pkmn_2nd_gen_00015_.png,134x88,536x352,4.0,4.0,0.9037,1.9364,0.9995,False,
raiden_00001_.png,69x143,276x572,4.0,4.0,0.763,3.2275,0.7101,False,
raiden_00002_.png,69x143,276x572,4.0,4.0,0.7551,3.2575,0.7124,False,
raiden_00003_.png,69x143,276x572,4.0,4.0,0.7596,3.2831,0.6499,False,
raiden_00004_.png,69x143,276x572,4.0,4.0,0.754,3.3651,0.6365,False,
raiden_00005_.png,69x143,276x572,4.0,4.0,0.7634,3.1215,0.6841,False,
raiden_00006_.png,69x143,276x572,4.0,4.0,0.7614,3.0281,0.6913,False,
ralf_00001_.png,172x266,688x1064,4.0,4.0,0.8382,1.9848,0.4803,False,
ralf_00002_.png,172x266,688x1064,4.0,4.0,0.8408,1.9614,0.4634,False,
ralf_00003_.png,172x266,688x1064,4.0,4.0,0.8406,1.9212,0.4479,False,
ralf_00004_.png,172x266,688x1064,4.0,4.0,0.8409,1.9631,0.4626,False,
ralf_00005_.png,172x266,688x1064,4.0,4.0,0.8392,1.9839,0.4699,False,
ralf_00006_.png,172x266,688x1064,4.0,4.0,0.8377,1.9965,0.4582,False,
ralf_00007_.png,172x266,688x1064,4.0,4.0,0.8397,1.9606,0.467,False,
ralf_00008_.png,172x266,688x1064,4.0,4.0,0.8363,2.0196,0.4403,False,
ralf_00009_.png,172x266,688x1064,4.0,4.0,0.8302,2.144,0.482,False,
ralf_00010_.png,172x266,688x1064,4.0,4.0,0.8284,2.1557,0.4775,False,
ralf_00011_.png,172x266,688x1064,4.0,4.0,0.8352,2.0786,0.4336,False,
ralf_00012_.png,172x266,688x1064,4.0,4.0,0.8432,1.9433,0.4831,False,
ralf_00013_.png,172x266,688x1064,4.0,4.0,0.8444,1.9033,0.499,False,
ralf_00014_.png,172x266,688x1064,4.0,4.0,0.8368,2.0662,0.4336,False,
ralf_00015_.png,172x266,688x1064,4.0,4.0,0.8275,2.1473,0.4734,False,
ralf_00016_.png,172x266,688x1064,4.0,4.0,0.8259,2.2195,0.4772,False,
ralf_00017_.png,172x266,688x1064,4.0,4.0,0.8256,2.1876,0.4429,False,
ralf_00018_.png,172x266,688x1064,4.0,4.0,0.8255,2.1915,0.4726,False,
ralf_00019_.png,172x266,688x1064,4.0,4.0,0.8334,2.1153,0.4578,False,
ralf_00020_.png,172x266,688x1064,4.0,4.0,0.8383,2.0362,0.4684,False,
ralf_00021_.png,172x266,688x1064,4.0,4.0,0.8392,1.9662,0.4816,False,
ralf_00022_.png,172x266,688x1064,4.0,4.0,0.8309,2.0578,0.4546,False,
robert_00001_.png,270x255,1080x1020,4.0,4.0,0.916,1.1734,0.5197,False,
robert_00002_.png,270x255,1080x1020,4.0,4.0,0.9191,1.0712,0.6708,False,
robert_00003_.png,270x255,1080x1020,4.0,4.0,0.9228,1.0486,0.7652,False,
robert_00004_.png,270x255,1080x1020,4.0,4.0,0.9185,1.0593,0.6078,False,
robert_00005_.png,270x255,1080x1020,4.0,4.0,0.913,1.2198,0.6987,False,
robert_00006_.png,270x255,1080x1020,4.0,4.0,0.9173,1.1336,0.5252,False,
robert_00007_.png,270x255,1080x1020,4.0,4.0,0.9182,1.3966,0.6152,False,
robert_00008_.png,270x255,1080x1020,4.0,4.0,0.9172,1.0138,0.5127,False,
robert_00009_.png,270x255,1080x1020,4.0,4.0,0.9236,0.9274,0.5323,False,
robert_00010_.png,270x255,1080x1020,4.0,4.0,0.9228,0.9177,0.4733,False,
robert_00011_.png,270x255,1080x1020,4.0,4.0,0.9246,0.9979,0.6729,False,
robert_00012_.png,270x255,1080x1020,4.0,4.0,0.9148,1.2043,0.4745,False,
robert_00013_.png,144x255,576x1020,4.0,4.0,0.8642,1.8147,0.5884,False,
robert_00014_.png,144x255,576x1020,4.0,4.0,0.858,1.9635,0.5946,False,
